id,company,x,y
0,Microsoft Game Studios,673.497,367.799
1,Microsoft Game Studios,625.919,257.323
2,Microsoft Game Studios,684.373,363.974
3,Microsoft Game Studios,553.490,338.203
4,Microsoft Game Studios,675.272,338.606
5,Microsoft Game Studios,668.935,361.192
6,Microsoft Game Studios,611.489,263.789
7,Microsoft Game Studios,642.827,317.259
8,Microsoft Game Studios,581.680,369.698
9,Microsoft Game Studios,550.482,339.801
10,Microsoft Game Studios,664.803,405.196
11,Microsoft Game Studios,692.673,371.107
12,Microsoft Game Studios,683.801,321.772
13,Microsoft Game Studios,587.558,416.500
14,Microsoft Game Studios,640.640,333.289
15,Microsoft Game Studios,587.858,377.716
16,Microsoft Game Studios,643.230,304.306
17,Microsoft Game Studios,684.639,329.274
18,Microsoft Game Studios,631.636,299.933
19,Microsoft Game Studios,553.035,312.141
20,Microsoft Game Studios,574.998,290.294
21,Microsoft Game Studios,686.290,368.030
22,Microsoft Game Studios,593.640,425.260
23,Microsoft Game Studios,628.750,389.184
24,Microsoft Game Studios,617.200,290.714
25,Microsoft Game Studios,646.820,412.991
26,Microsoft Game Studios,562.932,384.741
27,Microsoft Game Studios,584.663,427.730
28,Microsoft Game Studios,642.693,429.989
29,Microsoft Game Studios,654.155,424.617
30,Microsoft Game Studios,541.210,370.245
31,Microsoft Game Studios,704.190,330.855
32,Microsoft Game Studios,600.590,301.575
33,Microsoft Game Studios,631.576,350.788
34,Microsoft Game Studios,561.191,310.889
35,Microsoft Game Studios,637.310,375.119
36,Microsoft Game Studios,602.866,268.414
37,Microsoft Game Studios,552.006,353.389
38,Microsoft Game Studios,639.940,413.290
39,Microsoft Game Studios,549.632,303.832
40,Microsoft Game Studios,608.965,340.541
41,Microsoft Game Studios,624.256,413.090
42,Microsoft Game Studios,673.620,315.401
43,Microsoft Game Studios,562.924,372.616
44,Microsoft Game Studios,609.246,362.384
45,Microsoft Game Studios,589.250,304.369
46,Microsoft Game Studios,684.949,403.697
47,Microsoft Game Studios,646.927,432.193
