id,company,x,y
0,Riot Games,293.145,538.689
1,Riot Games,269.072,489.657
2,Riot Games,295.277,535.297
3,Riot Games,254.839,528.554
4,Riot Games,302.642,524.700
5,Riot Games,302.450,538.936
6,Riot Games,266.309,500.784
7,Riot Games,286.653,495.647
8,Riot Games,265.697,534.154
9,Riot Games,240.151,529.076
10,Riot Games,286.323,549.058
11,Riot Games,306.278,540.459
12,Riot Games,304.598,515.433
13,Riot Games,258.594,551.988
14,Riot Games,294.996,505.320
15,Riot Games,259.085,539.552
16,Riot Games,279.890,502.465
17,Riot Games,302.391,521.528
18,Riot Games,271.793,501.260
19,Riot Games,238.461,514.288
20,Riot Games,265.064,520.413
21,Riot Games,309.666,539.429
22,Riot Games,255.497,564.986
23,Riot Games,273.124,539.531
24,Riot Games,266.948,503.959
25,Riot Games,281.698,562.021
26,Riot Games,253.499,540.169
27,Riot Games,253.079,560.469
28,Riot Games,278.258,565.815
29,Riot Games,283.060,564.986
30,Riot Games,259.141,532.057
31,Riot Games,296.673,524.076
32,Riot Games,256.974,501.632
33,Riot Games,288.371,545.593
34,Riot Games,237.667,511.436
35,Riot Games,278.381,546.558
36,Riot Games,263.763,502.546
37,Riot Games,234.311,532.292
38,Riot Games,275.846,549.556
39,Riot Games,246.739,517.341
40,Riot Games,269.205,529.720
41,Riot Games,270.938,555.818
42,Riot Games,301.108,511.264
43,Riot Games,241.001,541.869
44,Riot Games,240.225,554.172
45,Riot Games,270.664,524.954
46,Riot Games,278.183,534.715
47,Riot Games,278.385,553.597
48,Riot Games,254.025,493.428
49,Riot Games,307.808,530.305
50,Riot Games,238.848,549.696
51,Riot Games,308.679,536.687
52,Riot Games,267.743,540.569
53,Riot Games,288.075,555.579
54,Riot Games,298.999,500.079
55,Riot Games,270.432,495.278
56,Riot Games,267.592,495.833
57,Riot Games,273.271,543.813
58,Riot Games,235.479,515.231
59,Riot Games,250.589,537.694
60,Riot Games,267.285,550.176
61,Riot Games,265.415,523.666
62,Riot Games,303.790,545.811
63,Riot Games,267.757,564.936
64,Riot Games,234.943,543.596
65,Riot Games,294.000,559.955
66,Riot Games,293.751,524.271
67,Riot Games,243.663,516.525
68,Riot Games,271.816,509.222
69,Riot Games,304.362,506.744
70,Riot Games,236.151,545.910
71,Riot Games,245.209,523.583
72,Riot Games,266.335,559.288
73,Riot Games,311.168,530.425
74,Riot Games,253.432,553.138
75,Riot Games,297.994,505.699
76,Riot Games,299.016,546.076
77,Riot Games,291.081,533.151
78,Riot Games,240.169,551.728
79,Riot Games,282.951,545.901
80,Riot Games,256.022,516.559
81,Riot Games,250.049,544.927
82,Riot Games,276.536,555.416
83,Riot Games,261.330,555.578
84,Riot Games,233.255,517.199
85,Riot Games,245.989,534.956
86,Riot Games,267.887,537.661
87,Riot Games,256.258,542.409
88,Riot Games,291.689,513.114
89,Riot Games,253.222,503.331
90,Riot Games,249.847,515.539
91,Riot Games,287.968,499.365
92,Riot Games,309.870,521.809
93,Riot Games,276.125,532.589
94,Riot Games,297.704,512.963
95,Riot Games,275.849,529.341
96,Riot Games,240.201,536.556
97,Riot Games,239.799,539.376
98,Riot Games,263.918,562.842
99,Riot Games,262.556,549.775
100,Riot Games,272.446,552.047
101,Riot Games,300.953,547.912
102,Riot Games,245.751,538.026
103,Riot Games,236.638,530.844
104,Riot Games,308.686,532.995
105,Riot Games,250.304,550.615
106,Riot Games,291.172,504.639
107,Riot Games,282.826,555.629
108,Riot Games,255.631,496.479
109,Riot Games,274.947,517.379
110,Riot Games,305.414,523.841
111,Riot Games,287.467,510.316
112,Riot Games,293.213,562.436
113,Riot Games,288.593,565.103
114,Riot Games,295.516,539.550
115,Riot Games,257.351,522.327
116,Riot Games,306.378,510.148
117,Riot Games,249.714,526.031
118,Riot Games,281.486,510.556
119,Riot Games,288.524,530.262
120,Riot Games,300.156,540.261
121,Riot Games,258.082,504.192
122,Riot Games,286.541,492.473
123,Riot Games,269.076,526.996
124,Riot Games,268.183,522.905
125,Riot Games,242.230,513.205
126,Riot Games,253.457,536.503
127,Riot Games,266.952,568.573
128,Riot Games,301.600,535.263
129,Riot Games,288.583,513.571
130,Riot Games,267.211,554.677
131,Riot Games,243.662,552.812
132,Riot Games,256.006,554.654
133,Riot Games,232.000,536.927
134,Riot Games,278.894,527.998
135,Riot Games,280.980,515.293
136,Riot Games,257.749,537.289
137,Riot Games,280.255,498.716
138,Riot Games,264.973,543.266
139,Riot Games,243.306,540.285
140,Riot Games,245.411,555.096
141,Riot Games,291.108,507.547
142,Riot Games,253.822,525.761
143,Riot Games,236.026,528.317
144,Riot Games,255.574,532.667
145,Riot Games,270.467,559.663
146,Riot Games,257.630,507.745
