id,company,x,y
0,Ubisoft,538.755,268.089
1,Ubisoft,504.039,203.488
2,Ubisoft,537.086,261.728
3,Ubisoft,474.952,248.052
4,Ubisoft,541.504,248.004
5,Ubisoft,557.463,266.816
6,Ubisoft,497.254,205.878
7,Ubisoft,526.064,205.793
8,Ubisoft,479.772,264.391
9,Ubisoft,482.256,250.496
10,Ubisoft,525.247,278.194
11,Ubisoft,522.672,258.781
12,Ubisoft,532.491,240.562
13,Ubisoft,497.109,269.034
14,Ubisoft,533.690,224.776
15,Ubisoft,473.761,277.572
16,Ubisoft,512.729,232.561
17,Ubisoft,550.967,239.723
18,Ubisoft,506.574,210.312
19,Ubisoft,461.117,232.165
20,Ubisoft,484.744,227.734
21,Ubisoft,526.425,259.102
22,Ubisoft,498.644,273.768
23,Ubisoft,507.578,287.294
24,Ubisoft,501.266,226.908
25,Ubisoft,518.005,297.563
26,Ubisoft,486.694,264.404
27,Ubisoft,485.469,290.561
28,Ubisoft,512.836,276.556
29,Ubisoft,522.409,294.639
30,Ubisoft,455.810,267.054
31,Ubisoft,537.295,246.663
32,Ubisoft,483.914,214.853
33,Ubisoft,516.544,260.950
34,Ubisoft,459.641,228.008
35,Ubisoft,519.576,289.080
36,Ubisoft,493.742,210.557
37,Ubisoft,468.030,257.590
38,Ubisoft,510.197,274.000
39,Ubisoft,472.265,235.065
40,Ubisoft,464.533,232.421
41,Ubisoft,503.911,303.343
42,Ubisoft,531.455,235.663
43,Ubisoft,477.909,261.948
44,Ubisoft,463.678,284.991
45,Ubisoft,504.936,246.622
46,Ubisoft,541.548,287.117
47,Ubisoft,517.329,291.696
48,Ubisoft,503.655,243.734
49,Ubisoft,555.710,256.910
50,Ubisoft,470.372,276.682
51,Ubisoft,546.723,264.430
52,Ubisoft,493.906,299.567
53,Ubisoft,535.027,295.926
54,Ubisoft,536.589,221.624
55,Ubisoft,505.703,214.424
56,Ubisoft,501.112,203.320
57,Ubisoft,510.360,290.132
58,Ubisoft,475.911,240.450
59,Ubisoft,467.438,265.879
60,Ubisoft,496.259,305.702
61,Ubisoft,489.658,241.466
62,Ubisoft,533.387,268.989
63,Ubisoft,503.484,284.670
64,Ubisoft,459.485,269.528
65,Ubisoft,538.429,296.458
66,Ubisoft,549.545,242.896
67,Ubisoft,491.351,247.366
68,Ubisoft,507.879,220.413
69,Ubisoft,548.214,217.659
70,Ubisoft,477.048,265.574
71,Ubisoft,459.783,244.132
72,Ubisoft,501.512,293.061
73,Ubisoft,555.038,251.375
74,Ubisoft,494.919,271.227
75,Ubisoft,516.519,243.760
76,Ubisoft,540.176,273.196
77,Ubisoft,531.413,258.677
78,Ubisoft,483.026,269.192
79,Ubisoft,531.238,296.158
80,Ubisoft,495.457,242.681
81,Ubisoft,459.830,276.928
82,Ubisoft,514.868,294.392
83,Ubisoft,499.247,270.974
84,Ubisoft,455.464,238.826
85,Ubisoft,474.741,258.573
86,Ubisoft,505.311,261.091
87,Ubisoft,466.475,284.378
88,Ubisoft,530.782,229.313
89,Ubisoft,478.907,217.556
90,Ubisoft,462.993,229.937
91,Ubisoft,510.174,243.047
92,Ubisoft,542.606,243.017
93,Ubisoft,542.947,284.616
94,Ubisoft,535.702,232.331
95,Ubisoft,547.237,220.750
96,Ubisoft,487.079,256.979
97,Ubisoft,462.009,263.939
98,Ubisoft,498.284,286.771
99,Ubisoft,492.288,284.772
100,Ubisoft,508.627,283.518
101,Ubisoft,551.919,279.526
102,Ubisoft,454.582,264.166
103,Ubisoft,458.104,253.613
104,Ubisoft,547.618,255.119
105,Ubisoft,480.277,279.827
106,Ubisoft,532.359,217.677
107,Ubisoft,521.090,300.391
108,Ubisoft,485.176,212.418
109,Ubisoft,510.334,234.248
110,Ubisoft,552.378,242.596
111,Ubisoft,526.577,222.921
112,Ubisoft,513.114,264.954
113,Ubisoft,518.891,275.396
114,Ubisoft,552.501,270.189
115,Ubisoft,490.307,244.569
116,Ubisoft,523.511,244.205
117,Ubisoft,467.479,244.758
118,Ubisoft,525.600,213.785
119,Ubisoft,532.694,253.081
120,Ubisoft,532.377,262.867
121,Ubisoft,488.014,214.634
122,Ubisoft,525.175,202.856
123,Ubisoft,503.566,249.931
124,Ubisoft,501.957,246.969
125,Ubisoft,466.983,230.192
126,Ubisoft,488.844,259.534
127,Ubisoft,506.873,269.693
128,Ubisoft,559.135,261.492
129,Ubisoft,543.543,212.846
130,Ubisoft,498.417,302.947
131,Ubisoft,496.121,261.615
132,Ubisoft,482.526,291.921
133,Ubisoft,483.930,258.708
134,Ubisoft,511.467,254.139
135,Ubisoft,526.627,217.356
136,Ubisoft,484.159,266.132
137,Ubisoft,516.696,208.436
138,Ubisoft,492.361,278.552
139,Ubisoft,459.448,266.681
140,Ubisoft,485.191,272.979
141,Ubisoft,534.618,219.041
142,Ubisoft,469.659,242.681
143,Ubisoft,465.127,253.704
144,Ubisoft,473.786,260.913
145,Ubisoft,505.820,296.809
146,Ubisoft,477.911,209.307
147,Ubisoft,476.289,254.446
148,Ubisoft,519.834,225.023
149,Ubisoft,521.932,275.691
150,Ubisoft,490.645,219.827
151,Ubisoft,546.492,257.553
152,Ubisoft,495.597,284.806
153,Ubisoft,487.669,272.728
154,Ubisoft,480.200,209.483
155,Ubisoft,461.251,272.430
156,Ubisoft,486.746,218.814
157,Ubisoft,520.457,292.013
158,Ubisoft,554.368,254.253
159,Ubisoft,506.580,249.900
160,Ubisoft,533.488,265.799
161,Ubisoft,504.286,267.537
162,Ubisoft,472.915,211.793
163,Ubisoft,470.381,267.126
164,Ubisoft,463.697,277.619
165,Ubisoft,525.199,271.203
166,Ubisoft,480.592,300.137
167,Ubisoft,528.346,219.529
168,Ubisoft,482.036,228.238
169,Ubisoft,455.519,245.058
170,Ubisoft,481.799,253.600
171,Ubisoft,540.611,239.510
172,Ubisoft,527.859,211.513
173,Ubisoft,540.254,222.122
174,Ubisoft,499.149,295.956
175,Ubisoft,522.963,213.400
176,Ubisoft,502.911,290.507
177,Ubisoft,514.282,223.946
178,Ubisoft,500.803,207.680
179,Ubisoft,466.209,247.563
180,Ubisoft,502.305,281.696
181,Ubisoft,549.211,225.187
182,Ubisoft,499.400,279.765
183,Ubisoft,525.404,236.460
184,Ubisoft,516.278,211.391
185,Ubisoft,497.405,255.403
186,Ubisoft,523.413,288.092
187,Ubisoft,505.818,306.817
188,Ubisoft,508.321,202.340
189,Ubisoft,559.591,236.589
190,Ubisoft,482.893,288.474
191,Ubisoft,512.917,292.559
192,Ubisoft,504.603,228.088
193,Ubisoft,514.124,235.649
194,Ubisoft,477.374,235.832
195,Ubisoft,542.648,251.825
196,Ubisoft,500.583,298.374
197,Ubisoft,485.587,248.021
198,Ubisoft,511.001,222.138
199,Ubisoft,487.767,252.377
200,Ubisoft,509.130,250.781
201,Ubisoft,533.335,228.642
202,Ubisoft,490.559,304.825
203,Ubisoft,527.893,277.295
204,Ubisoft,534.073,260.294
205,Ubisoft,530.347,213.213
206,Ubisoft,497.409,233.017
207,Ubisoft,512.488,245.089
208,Ubisoft,519.806,251.068
209,Ubisoft,531.454,284.019
210,Ubisoft,498.797,227.433
211,Ubisoft,470.392,237.789
212,Ubisoft,528.115,230.349
213,Ubisoft,478.566,232.768
214,Ubisoft,542.596,232.249
215,Ubisoft,476.524,245.809
216,Ubisoft,539.920,289.674
217,Ubisoft,496.671,218.063
