id,company,x,y
177,Unity Technologies,369.676,138.576
178,Unity Technologies,337.537,150.865
179,Unity Technologies,280.347,204.540
180,Unity Technologies,331.749,299.407
181,Unity Technologies,365.526,207.112
182,Unity Technologies,327.455,270.985
183,Unity Technologies,407.068,162.335
184,Unity Technologies,364.255,151.709
185,Unity Technologies,270.072,235.649
186,Unity Technologies,386.763,307.696
187,Unity Technologies,348.364,249.377
188,Unity Technologies,352.590,119.161
189,Unity Technologies,382.779,205.277
190,Unity Technologies,295.909,289.247
191,Unity Technologies,357.829,297.819
192,Unity Technologies,337.242,139.871
193,Unity Technologies,381.619,136.359
194,Unity Technologies,281.058,176.791
195,Unity Technologies,440.689,211.294
196,Unity Technologies,336.210,310.117
197,Unity Technologies,317.286,207.974
198,Unity Technologies,356.455,162.389
199,Unity Technologies,321.389,213.349
200,Unity Technologies,403.979,156.513
201,Unity Technologies,397.340,174.448
202,Unity Technologies,320.465,299.385
203,Unity Technologies,396.660,272.030
204,Unity Technologies,368.697,221.241
205,Unity Technologies,370.938,176.084
206,Unity Technologies,330.416,174.920
207,Unity Technologies,393.896,161.857
208,Unity Technologies,423.607,188.182
209,Unity Technologies,406.654,293.584
210,Unity Technologies,331.271,152.520
211,Unity Technologies,296.083,193.293
212,Unity Technologies,406.591,157.396
213,Unity Technologies,312.027,188.350
214,Unity Technologies,431.055,164.900
215,Unity Technologies,269.915,194.081
216,Unity Technologies,386.778,257.618
217,Unity Technologies,322.709,143.442
218,Unity Technologies,414.910,153.261
219,Unity Technologies,326.686,238.240
220,Unity Technologies,337.546,129.901
221,Unity Technologies,348.359,212.948
222,Unity Technologies,358.569,121.379
223,Unity Technologies,331.020,224.910
224,Unity Technologies,252.486,238.695
225,Unity Technologies,374.370,175.006
226,Unity Technologies,303.109,172.694
227,Unity Technologies,300.346,241.829
228,Unity Technologies,338.797,181.316
229,Unity Technologies,303.665,147.537
230,Unity Technologies,346.753,135.594
231,Unity Technologies,312.602,133.115
232,Unity Technologies,423.011,240.714
233,Unity Technologies,439.291,207.295
234,Unity Technologies,373.980,144.866
235,Unity Technologies,367.022,290.489
236,Unity Technologies,320.945,269.884
237,Unity Technologies,301.679,156.896
238,Unity Technologies,392.760,303.073
239,Unity Technologies,358.431,153.897
240,Unity Technologies,332.125,205.517
241,Unity Technologies,337.143,220.554
242,Unity Technologies,257.377,194.543
243,Unity Technologies,279.789,170.404
244,Unity Technologies,336.093,137.060
245,Unity Technologies,428.647,161.673
246,Unity Technologies,378.885,150.461
247,Unity Technologies,359.579,177.423
248,Unity Technologies,269.337,163.700
249,Unity Technologies,447.124,203.335
250,Unity Technologies,329.847,203.210
251,Unity Technologies,417.256,155.001
252,Unity Technologies,327.984,195.454
253,Unity Technologies,336.876,192.100
254,Unity Technologies,352.806,171.367
255,Unity Technologies,327.291,189.806
256,Unity Technologies,280.228,225.288
257,Unity Technologies,377.679,245.290
258,Unity Technologies,346.164,289.694
259,Unity Technologies,308.137,183.788
260,Unity Technologies,380.343,133.263
261,Unity Technologies,259.663,234.788
262,Unity Technologies,408.695,192.248
263,Unity Technologies,280.844,275.038
264,Unity Technologies,298.959,155.382
265,Unity Technologies,418.473,242.464
266,Unity Technologies,287.993,151.056
267,Unity Technologies,366.429,293.466
268,Unity Technologies,366.677,311.131
269,Unity Technologies,423.946,180.285
270,Unity Technologies,290.160,201.491
271,Unity Technologies,368.624,261.889
272,Unity Technologies,414.976,185.998
273,Unity Technologies,256.369,212.544
274,Unity Technologies,434.259,180.535
275,Unity Technologies,323.971,189.900
276,Unity Technologies,283.038,170.816
277,Unity Technologies,361.366,258.860
278,Unity Technologies,302.947,170.242
279,Unity Technologies,311.749,157.295
280,Unity Technologies,368.685,276.245
281,Unity Technologies,255.228,248.837
282,Unity Technologies,358.672,261.207
283,Unity Technologies,437.425,248.008
284,Unity Technologies,339.277,183.986
285,Unity Technologies,311.690,181.671
286,Unity Technologies,268.481,230.137
287,Unity Technologies,324.465,273.683
288,Unity Technologies,343.912,211.241
289,Unity Technologies,373.285,238.441
290,Unity Technologies,365.559,246.310
291,Unity Technologies,394.816,276.946
292,Unity Technologies,382.101,128.908
293,Unity Technologies,314.239,152.033
294,Unity Technologies,427.112,234.662
295,Unity Technologies,323.368,201.494
296,Unity Technologies,301.244,263.252
297,Unity Technologies,292.797,260.752
298,Unity Technologies,275.246,227.462
299,Unity Technologies,277.444,278.580
300,Unity Technologies,380.791,247.113
301,Unity Technologies,390.726,246.958
302,Unity Technologies,400.414,274.184
303,Unity Technologies,310.438,124.400
304,Unity Technologies,403.769,259.148
305,Unity Technologies,312.136,307.815
306,Unity Technologies,361.169,154.918
307,Unity Technologies,281.292,159.533
308,Unity Technologies,294.980,182.525
309,Unity Technologies,327.621,207.400
310,Unity Technologies,261.017,209.393
311,Unity Technologies,416.992,220.913
312,Unity Technologies,308.005,292.492
313,Unity Technologies,401.161,205.665
314,Unity Technologies,264.017,218.050
315,Unity Technologies,380.768,283.727
316,Unity Technologies,382.459,208.928
317,Unity Technologies,389.653,256.680
318,Unity Technologies,331.352,246.757
319,Unity Technologies,352.131,159.477
320,Unity Technologies,266.645,255.173
321,Unity Technologies,295.942,177.858
322,Unity Technologies,265.324,181.699
323,Unity Technologies,271.756,191.154
324,Unity Technologies,426.981,272.136
325,Unity Technologies,303.313,217.484
326,Unity Technologies,396.382,137.042
327,Unity Technologies,289.755,242.830
328,Unity Technologies,442.536,193.739
329,Unity Technologies,417.854,146.680
330,Unity Technologies,369.409,161.534
331,Unity Technologies,314.905,309.452
332,Unity Technologies,257.933,182.233
333,Unity Technologies,308.529,302.607
334,Unity Technologies,421.264,186.704
335,Unity Technologies,285.453,240.789
336,Unity Technologies,376.596,185.479
337,Unity Technologies,363.889,210.297
338,Unity Technologies,407.601,169.173
339,Unity Technologies,351.988,302.582
340,Unity Technologies,426.299,163.224
341,Unity Technologies,400.433,166.886
342,Unity Technologies,325.562,156.547
343,Unity Technologies,321.977,302.642
344,Unity Technologies,345.741,253.570
345,Unity Technologies,391.722,275.449
346,Unity Technologies,378.600,227.922
347,Unity Technologies,352.020,260.615
348,Unity Technologies,379.437,173.995
349,Unity Technologies,361.422,288.930
350,Unity Technologies,394.263,300.918
351,Unity Technologies,286.833,201.374
352,Unity Technologies,417.593,190.740
353,Unity Technologies,326.337,120.645
354,Unity Technologies,404.537,245.684
355,Unity Technologies,406.452,289.880
356,Unity Technologies,331.635,211.746
