id,company,x,y
0,Sony Interactive Entertainment,527.632,137.475
1,Sony Interactive Entertainment,490.270,53.847
2,Sony Interactive Entertainment,552.423,138.345
3,Sony Interactive Entertainment,454.110,114.493
4,Sony Interactive Entertainment,538.724,112.719
5,Sony Interactive Entertainment,558.971,139.685
6,Sony Interactive Entertainment,481.207,56.495
7,Sony Interactive Entertainment,517.737,63.131
8,Sony Interactive Entertainment,446.283,143.493
9,Sony Interactive Entertainment,444.118,114.925
10,Sony Interactive Entertainment,505.781,138.799
11,Sony Interactive Entertainment,524.445,131.910
12,Sony Interactive Entertainment,519.160,111.878
13,Sony Interactive Entertainment,467.899,165.479
14,Sony Interactive Entertainment,525.538,88.245
15,Sony Interactive Entertainment,461.630,144.349
16,Sony Interactive Entertainment,496.036,111.498
17,Sony Interactive Entertainment,556.787,101.947
18,Sony Interactive Entertainment,497.392,72.008
19,Sony Interactive Entertainment,449.485,99.166
20,Sony Interactive Entertainment,464.463,87.713
21,Sony Interactive Entertainment,519.257,128.092
22,Sony Interactive Entertainment,469.717,171.698
23,Sony Interactive Entertainment,496.604,165.966
24,Sony Interactive Entertainment,482.357,70.497
25,Sony Interactive Entertainment,510.231,172.487
26,Sony Interactive Entertainment,454.011,144.119
27,Sony Interactive Entertainment,474.476,153.462
28,Sony Interactive Entertainment,505.312,162.256
29,Sony Interactive Entertainment,512.572,165.797
30,Sony Interactive Entertainment,445.226,134.768
31,Sony Interactive Entertainment,544.716,108.036
32,Sony Interactive Entertainment,465.872,75.304
33,Sony Interactive Entertainment,530.799,155.582
34,Sony Interactive Entertainment,439.968,91.896
35,Sony Interactive Entertainment,505.035,151.381
36,Sony Interactive Entertainment,477.814,71.100
37,Sony Interactive Entertainment,453.914,124.557
38,Sony Interactive Entertainment,504.673,174.191
39,Sony Interactive Entertainment,443.467,92.095
40,Sony Interactive Entertainment,468.173,108.264
41,Sony Interactive Entertainment,495.167,143.768
42,Sony Interactive Entertainment,544.603,87.627
43,Sony Interactive Entertainment,459.362,132.556
44,Sony Interactive Entertainment,469.335,140.827
45,Sony Interactive Entertainment,493.553,114.603
46,Sony Interactive Entertainment,522.852,148.172
47,Sony Interactive Entertainment,507.951,176.809
48,Sony Interactive Entertainment,490.459,109.133
49,Sony Interactive Entertainment,519.962,122.890
50,Sony Interactive Entertainment,447.120,149.136
51,Sony Interactive Entertainment,535.402,133.374
52,Sony Interactive Entertainment,477.729,174.002
53,Sony Interactive Entertainment,529.751,177.090
54,Sony Interactive Entertainment,499.685,116.405
55,Sony Interactive Entertainment,494.559,73.336
56,Sony Interactive Entertainment,487.648,55.318
57,Sony Interactive Entertainment,499.133,153.668
58,Sony Interactive Entertainment,460.952,106.847
59,Sony Interactive Entertainment,468.893,130.497
