id,company,x,y
159,Take-Two Interactive,420.711,315.224
160,Take-Two Interactive,474.996,355.294
161,Take-Two Interactive,436.913,363.817
162,Take-Two Interactive,416.708,310.151
163,Take-Two Interactive,425.663,346.812
164,Take-Two Interactive,412.753,359.947
165,Take-Two Interactive,444.403,343.535
166,Take-Two Interactive,424.291,378.380
167,Take-Two Interactive,465.415,304.961
168,Take-Two Interactive,424.442,323.660
169,Take-Two Interactive,400.382,334.430
170,Take-Two Interactive,424.987,340.426
171,Take-Two Interactive,476.196,327.800
172,Take-Two Interactive,460.422,306.728
173,Take-Two Interactive,474.555,313.261
174,Take-Two Interactive,441.625,351.600
175,Take-Two Interactive,454.449,312.449
176,Take-Two Interactive,438.811,374.533
177,Take-Two Interactive,452.685,302.595
178,Take-Two Interactive,437.488,318.262
179,Take-Two Interactive,415.004,336.652
180,Take-Two Interactive,437.268,366.437
181,Take-Two Interactive,451.019,337.904
182,Take-Two Interactive,435.303,361.619
183,Take-Two Interactive,472.688,315.769
184,Take-Two Interactive,451.797,305.143
185,Take-Two Interactive,405.297,350.459
186,Take-Two Interactive,452.320,364.135
187,Take-Two Interactive,440.932,381.944
188,Take-Two Interactive,444.175,312.504
189,Take-Two Interactive,483.138,330.593
190,Take-Two Interactive,424.696,367.336
191,Take-Two Interactive,444.389,361.000
192,Take-Two Interactive,436.931,303.310
193,Take-Two Interactive,446.138,330.118
194,Take-Two Interactive,416.034,323.869
195,Take-Two Interactive,483.323,342.590
196,Take-Two Interactive,439.665,363.244
197,Take-Two Interactive,430.016,338.185
198,Take-Two Interactive,441.871,330.718
199,Take-Two Interactive,410.954,335.258
200,Take-Two Interactive,460.247,323.518
201,Take-Two Interactive,463.372,323.908
202,Take-Two Interactive,431.321,378.357
203,Take-Two Interactive,468.197,372.941
204,Take-Two Interactive,469.367,346.386
205,Take-Two Interactive,462.492,304.604
206,Take-Two Interactive,430.756,320.048
207,Take-Two Interactive,443.589,339.757
208,Take-Two Interactive,471.286,332.004
209,Take-Two Interactive,463.580,365.525
210,Take-Two Interactive,435.506,321.132
211,Take-Two Interactive,414.658,329.894
212,Take-Two Interactive,465.987,318.245
213,Take-Two Interactive,412.313,316.396
214,Take-Two Interactive,478.976,322.416
215,Take-Two Interactive,410.180,331.190
216,Take-Two Interactive,468.802,368.256
217,Take-Two Interactive,433.818,318.835
218,Take-Two Interactive,446.211,340.119
219,Take-Two Interactive,428.883,356.512
220,Take-Two Interactive,439.472,303.740
221,Take-Two Interactive,453.236,329.876
222,Take-Two Interactive,445.804,318.631
223,Take-Two Interactive,417.643,356.021
224,Take-Two Interactive,434.262,342.528
225,Take-Two Interactive,463.347,308.020
226,Take-Two Interactive,431.371,329.933
227,Take-Two Interactive,412.442,356.345
228,Take-Two Interactive,431.878,307.078
229,Take-Two Interactive,425.294,313.399
230,Take-Two Interactive,441.848,305.365
231,Take-Two Interactive,431.773,316.801
232,Take-Two Interactive,471.342,349.738
233,Take-Two Interactive,481.352,339.845
234,Take-Two Interactive,453.441,307.476
235,Take-Two Interactive,448.335,363.293
236,Take-Two Interactive,425.779,372.962
237,Take-Two Interactive,418.683,308.432
238,Take-Two Interactive,457.494,366.312
239,Take-Two Interactive,443.525,325.366
240,Take-Two Interactive,412.912,318.960
241,Take-Two Interactive,410.060,362.143
242,Take-Two Interactive,414.342,333.637
243,Take-Two Interactive,413.866,321.891
244,Take-Two Interactive,438.504,314.846
245,Take-Two Interactive,463.710,327.389
246,Take-Two Interactive,455.894,314.611
247,Take-Two Interactive,450.174,313.752
248,Take-Two Interactive,409.754,318.691
249,Take-Two Interactive,484.179,339.869
250,Take-Two Interactive,425.655,329.277
251,Take-Two Interactive,461.156,326.368
252,Take-Two Interactive,420.629,320.945
253,Take-Two Interactive,427.119,315.788
254,Take-Two Interactive,443.088,322.601
255,Take-Two Interactive,427.426,324.152
256,Take-Two Interactive,422.681,342.227
257,Take-Two Interactive,459.986,360.132
258,Take-Two Interactive,441.155,357.678
259,Take-Two Interactive,421.880,323.387
260,Take-Two Interactive,454.773,300.374
261,Take-Two Interactive,425.799,343.701
262,Take-Two Interactive,478.630,330.197
263,Take-Two Interactive,414.405,365.947
264,Take-Two Interactive,432.463,326.178
265,Take-Two Interactive,469.425,351.920
266,Take-Two Interactive,414.017,308.927
267,Take-Two Interactive,449.511,378.954
268,Take-Two Interactive,445.663,363.537
269,Take-Two Interactive,472.472,325.467
270,Take-Two Interactive,403.266,331.351
271,Take-Two Interactive,454.407,366.757
272,Take-Two Interactive,479.126,327.112
273,Take-Two Interactive,422.084,339.327
274,Take-Two Interactive,472.918,328.029
275,Take-Two Interactive,418.069,313.267
276,Take-Two Interactive,409.233,314.620
277,Take-Two Interactive,449.855,365.861
278,Take-Two Interactive,429.810,327.359
279,Take-Two Interactive,439.105,332.315
280,Take-Two Interactive,447.248,355.007
281,Take-Two Interactive,428.309,345.802
282,Take-Two Interactive,449.350,368.271
283,Take-Two Interactive,479.731,354.678
284,Take-Two Interactive,433.418,309.862
285,Take-Two Interactive,411.418,313.252
286,Take-Two Interactive,415.600,346.601
287,Take-Two Interactive,430.604,371.470
288,Take-Two Interactive,422.104,318.636
289,Take-Two Interactive,464.113,359.786
290,Take-Two Interactive,461.686,370.897
291,Take-Two Interactive,452.705,352.213
292,Take-Two Interactive,456.109,307.093
293,Take-Two Interactive,437.132,328.556
294,Take-Two Interactive,474.385,349.962
295,Take-Two Interactive,411.527,322.667
296,Take-Two Interactive,421.887,360.508
297,Take-Two Interactive,418.563,361.571
298,Take-Two Interactive,410.898,345.735
299,Take-Two Interactive,413.692,369.147
300,Take-Two Interactive,471.647,366.838
301,Take-Two Interactive,477.757,358.603
302,Take-Two Interactive,455.295,353.422
303,Take-Two Interactive,428.677,308.449
304,Take-Two Interactive,463.741,355.980
305,Take-Two Interactive,428.973,376.493
306,Take-Two Interactive,450.202,300.394
307,Take-Two Interactive,427.190,327.065
308,Take-Two Interactive,423.846,326.800
309,Take-Two Interactive,403.189,322.463
310,Take-Two Interactive,416.295,339.094
311,Take-Two Interactive,483.805,345.485
312,Take-Two Interactive,428.055,369.687
313,Take-Two Interactive,474.516,334.689
314,Take-Two Interactive,428.319,341.614
315,Take-Two Interactive,458.409,369.812
316,Take-Two Interactive,462.453,336.945
317,Take-Two Interactive,468.927,365.196
318,Take-Two Interactive,430.234,363.976
319,Take-Two Interactive,444.733,306.154
320,Take-Two Interactive,421.992,352.175
321,Take-Two Interactive,418.774,323.621
322,Take-Two Interactive,422.172,330.090
323,Take-Two Interactive,427.870,335.251
324,Take-Two Interactive,475.651,364.261
325,Take-Two Interactive,409.503,340.245
326,Take-Two Interactive,456.081,317.402
327,Take-Two Interactive,417.413,353.090
328,Take-Two Interactive,483.612,334.019
329,Take-Two Interactive,447.261,336.513
330,Take-Two Interactive,448.979,319.285
331,Take-Two Interactive,434.636,367.921
332,Take-Two Interactive,423.722,334.124
333,Take-Two Interactive,426.532,377.528
334,Take-Two Interactive,473.792,330.491
335,Take-Two Interactive,404.648,354.100
336,Take-Two Interactive,455.414,326.040
337,Take-Two Interactive,460.088,334.493
338,Take-Two Interactive,469.699,321.063
339,Take-Two Interactive,445.990,366.657
340,Take-Two Interactive,475.633,320.734
341,Take-Two Interactive,464.801,321.051
342,Take-Two Interactive,430.857,310.807
343,Take-Two Interactive,433.339,372.495
344,Take-Two Interactive,441.759,378.148
345,Take-Two Interactive,463.329,368.656
346,Take-Two Interactive,475.205,352.757
347,Take-Two Interactive,444.020,381.687
348,Take-Two Interactive,456.937,323.118
349,Take-Two Interactive,446.553,380.410
350,Take-Two Interactive,462.576,375.617
351,Take-Two Interactive,411.703,332.936
352,Take-Two Interactive,453.649,339.108
353,Take-Two Interactive,435.156,315.948
354,Take-Two Interactive,469.397,355.248
355,Take-Two Interactive,466.352,366.788
356,Take-Two Interactive,417.985,329.556
357,Take-Two Interactive,447.140,351.342
358,Take-Two Interactive,474.617,323.666
359,Take-Two Interactive,443.460,346.674
360,Take-Two Interactive,440.473,300.342
361,Take-Two Interactive,424.964,351.925
362,Take-Two Interactive,458.889,316.593
363,Take-Two Interactive,407.025,363.514
364,Take-Two Interactive,444.204,298.698
365,Take-Two Interactive,412.838,363.023
