0,Microsoft Game Studios,588.491,307.284
1,Microsoft Game Studios,530.707,191.622
2,Microsoft Game Studios,589.450,297.169
3,Microsoft Game Studios,457.973,272.189
4,Microsoft Game Studios,573.638,274.645
5,Microsoft Game Studios,575.670,295.738
6,Microsoft Game Studios,516.917,197.813
7,Microsoft Game Studios,551.415,247.563
8,Microsoft Game Studios,486.499,303.770
9,Microsoft Game Studios,466.638,273.836
10,Microsoft Game Studios,566.546,332.875
11,Microsoft Game Studios,594.459,304.529
12,Microsoft Game Studios,606.559,247.605
13,Microsoft Game Studios,495.955,347.291
14,Microsoft Game Studios,549.267,264.745
15,Microsoft Game Studios,489.755,317.036
16,Microsoft Game Studios,542.642,250.668
17,Microsoft Game Studios,584.512,264.547
18,Microsoft Game Studios,537.164,232.631
19,Microsoft Game Studios,459.178,247.694
20,Microsoft Game Studios,483.433,225.694
21,Microsoft Game Studios,600.058,304.187
22,Microsoft Game Studios,498.349,357.372
23,Microsoft Game Studios,534.021,321.585
24,Microsoft Game Studios,517.540,200.985
25,Microsoft Game Studios,549.592,336.210
26,Microsoft Game Studios,471.785,318.146
27,Microsoft Game Studios,492.836,350.372
28,Microsoft Game Studios,542.688,326.413
29,Microsoft Game Studios,559.410,361.874
30,Microsoft Game Studios,447.607,304.148
31,Microsoft Game Studios,610.373,265.863
32,Microsoft Game Studios,505.051,233.857
33,Microsoft Game Studios,583.968,330.609
34,Microsoft Game Studios,465.192,244.477
35,Microsoft Game Studios,539.952,306.692
36,Microsoft Game Studios,508.889,203.150
37,Microsoft Game Studios,458.123,286.951
38,Microsoft Game Studios,545.618,345.313
39,Microsoft Game Studios,454.763,237.713
40,Microsoft Game Studios,513.627,273.487
41,Microsoft Game Studios,529.363,341.850
42,Microsoft Game Studios,575.922,250.984
43,Microsoft Game Studios,469.352,306.098
44,Microsoft Game Studios,504.304,306.404
45,Microsoft Game Studios,479.561,217.593
46,Microsoft Game Studios,590.518,336.378
47,Microsoft Game Studios,547.196,335.511
48,Microsoft Game Studios,515.756,251.822
49,Microsoft Game Studios,569.990,283.496
50,Microsoft Game Studios,457.799,325.129
51,Microsoft Game Studios,596.605,300.632
52,Microsoft Game Studios,506.975,364.202
53,Microsoft Game Studios,560.284,323.551
54,Microsoft Game Studios,578.468,233.030
55,Microsoft Game Studios,531.882,214.803
56,Microsoft Game Studios,524.769,198.428
57,Microsoft Game Studios,536.754,326.724
58,Microsoft Game Studios,463.251,255.921
59,Microsoft Game Studios,489.597,298.230
60,Microsoft Game Studios,529.998,301.616
61,Microsoft Game Studios,464.851,233.886
62,Microsoft Game Studios,596.619,318.427
63,Microsoft Game Studios,524.182,361.998
64,Microsoft Game Studios,522.648,285.355
65,Microsoft Game Studios,585.686,354.259
66,Microsoft Game Studios,621.883,256.760
67,Microsoft Game Studios,488.967,262.337
68,Microsoft Game Studios,532.998,224.678
69,Microsoft Game Studios,566.841,254.880
70,Microsoft Game Studios,468.544,309.781
71,Microsoft Game Studios,445.087,262.649
72,Microsoft Game Studios,524.937,327.407
73,Microsoft Game Studios,618.464,275.001
74,Microsoft Game Studios,520.917,304.468
75,Microsoft Game Studios,571.208,247.751
76,Microsoft Game Studios,589.876,313.711
77,Microsoft Game Studios,621.712,305.606
78,Microsoft Game Studios,494.205,308.853
79,Microsoft Game Studios,575.662,357.572
80,Microsoft Game Studios,508.183,259.917
81,Microsoft Game Studios,454.449,324.365
82,Microsoft Game Studios,543.163,333.000
83,Microsoft Game Studios,501.500,356.577
84,Microsoft Game Studios,455.830,257.661
85,Microsoft Game Studios,448.951,295.755
86,Microsoft Game Studios,489.196,345.717
87,Microsoft Game Studios,495.689,314.299
88,Microsoft Game Studios,590.285,228.296
89,Microsoft Game Studios,482.780,215.978
90,Microsoft Game Studios,497.274,261.813
91,Microsoft Game Studios,561.600,229.282
92,Microsoft Game Studios,557.715,277.181
93,Microsoft Game Studios,598.954,336.477
94,Microsoft Game Studios,550.959,272.656
95,Microsoft Game Studios,580.120,244.189
96,Microsoft Game Studios,518.292,284.913
97,Microsoft Game Studios,475.283,300.096
98,Microsoft Game Studios,521.142,331.499
99,Microsoft Game Studios,519.957,317.709
100,Microsoft Game Studios,536.049,351.895
101,Microsoft Game Studios,584.218,317.337
102,Microsoft Game Studios,485.260,294.727
103,Microsoft Game Studios,492.925,282.541
104,Microsoft Game Studios,616.119,287.423
105,Microsoft Game Studios,469.014,342.344
106,Microsoft Game Studios,544.625,265.543
107,Microsoft Game Studios,557.338,360.114
108,Microsoft Game Studios,491.178,207.499
109,Microsoft Game Studios,555.833,207.547
110,Microsoft Game Studios,622.349,260.532
111,Microsoft Game Studios,562.718,241.886
112,Microsoft Game Studios,535.031,290.351
113,Microsoft Game Studios,552.557,316.666
114,Microsoft Game Studios,619.459,315.690
115,Microsoft Game Studios,530.143,283.098
116,Microsoft Game Studios,604.044,237.166
117,Microsoft Game Studios,447.940,266.458
118,Microsoft Game Studios,548.655,247.033
119,Microsoft Game Studios,589.301,277.747
120,Microsoft Game Studios,605.009,310.400
121,Microsoft Game Studios,495.212,203.100
122,Microsoft Game Studios,567.737,208.971
123,Microsoft Game Studios,484.484,232.953
124,Microsoft Game Studios,499.538,247.450
125,Microsoft Game Studios,457.348,237.295
126,Microsoft Game Studios,492.533,296.454
127,Microsoft Game Studios,529.706,309.811
128,Microsoft Game Studios,608.901,297.349
129,Microsoft Game Studios,595.279,216.359
130,Microsoft Game Studios,520.759,353.892
131,Microsoft Game Studios,475.231,333.383
132,Microsoft Game Studios,490.022,350.468
133,Microsoft Game Studios,451.083,302.670
134,Microsoft Game Studios,602.096,239.360
135,Microsoft Game Studios,555.162,239.463
136,Microsoft Game Studios,470.118,321.008
137,Microsoft Game Studios,548.792,227.923
138,Microsoft Game Studios,518.442,311.632
139,Microsoft Game Studios,453.548,306.883
140,Microsoft Game Studios,483.483,326.056
141,Microsoft Game Studios,572.625,234.523
142,Microsoft Game Studios,458.451,263.500
143,Microsoft Game Studios,453.912,283.209
144,Microsoft Game Studios,443.710,296.164
145,Microsoft Game Studios,533.946,317.737
146,Microsoft Game Studios,512.751,252.726
